district,img_url
Amstel III/Bullewijk,https://data.amsterdam.nl/panorama/2017/04/18/TMX7316010203-000261/pano_0000_003177/equirectangular/panorama_2000.jpg
Westlandgracht,https://data.amsterdam.nl/panorama/2017/04/19/TMX7316010203-000264/pano_0001_000006/equirectangular/panorama_2000.jpg
Hoofddorppleinbuurt,https://data.amsterdam.nl/panorama/2017/04/19/TMX7316010203-000264/pano_0001_000137/equirectangular/panorama_2000.jpg
Sloter-/Riekerpolder,https://data.amsterdam.nl/panorama/2017/04/19/TMX7316010203-000264/pano_0001_000233/equirectangular/panorama_2000.jpg
Overtoomse Veld,https://data.amsterdam.nl/panorama/2017/04/19/TMX7316010203-000264/pano_0001_003041/equirectangular/panorama_2000.jpg
Westindische Buurt,https://data.amsterdam.nl/panorama/2017/04/19/TMX7316010203-000264/pano_0001_003118/equirectangular/panorama_2000.jpg
Hoofdweg e.o.,https://data.amsterdam.nl/panorama/2017/04/20/TMX7316010203-000265/pano_0000_000000/equirectangular/panorama_2000.jpg
Van Galenbuurt,https://data.amsterdam.nl/panorama/2017/04/20/TMX7316010203-000266/pano_0000_000178/equirectangular/panorama_2000.jpg
Erasmuspark,https://data.amsterdam.nl/panorama/2017/04/20/TMX7316010203-000266/pano_0000_002024/equirectangular/panorama_2000.jpg
De Kolenkit,https://data.amsterdam.nl/panorama/2017/04/20/TMX7316010203-000267/pano_0000_000041/equirectangular/panorama_2000.jpg
Geuzenbuurt,https://data.amsterdam.nl/panorama/2017/04/20/TMX7316010203-000267/pano_0000_000677/equirectangular/panorama_2000.jpg
Landlust,https://data.amsterdam.nl/panorama/2017/04/20/TMX7316010203-000274/pano_0002_000051/equirectangular/panorama_2000.jpg
Chassébuurt,https://data.amsterdam.nl/panorama/2017/04/20/TMX7316010203-000274/pano_0002_001401/equirectangular/panorama_2000.jpg
Staatsliedenbuurt,https://data.amsterdam.nl/panorama/2017/04/21/TMX7316010203-000275/pano_0000_002805/equirectangular/panorama_2000.jpg
Frederik Hendrikbuurt,https://data.amsterdam.nl/panorama/2017/04/21/TMX7316010203-000275/pano_0000_003362/equirectangular/panorama_2000.jpg
Centrale Markt,https://data.amsterdam.nl/panorama/2017/04/21/TMX7316010203-000275/pano_0000_003472/equirectangular/panorama_2000.jpg
Van Lennepbuurt,https://data.amsterdam.nl/panorama/2017/04/21/TMX7316010203-000276/pano_0000_000015/equirectangular/panorama_2000.jpg
Kinkerbuurt,https://data.amsterdam.nl/panorama/2017/04/21/TMX7316010203-000276/pano_0000_000200/equirectangular/panorama_2000.jpg
Helmersbuurt,https://data.amsterdam.nl/panorama/2017/04/21/TMX7316010203-000276/pano_0000_001512/equirectangular/panorama_2000.jpg
Overtoomse Sluis,https://data.amsterdam.nl/panorama/2017/04/21/TMX7316010203-000276/pano_0000_001796/equirectangular/panorama_2000.jpg
Houthavens,https://data.amsterdam.nl/panorama/2017/04/24/TMX7316010203-000277/pano_0001_000018/equirectangular/panorama_2000.jpg
Westelijk Havengebied,https://data.amsterdam.nl/panorama/2017/04/24/TMX7316010203-000277/pano_0001_001675/equirectangular/panorama_2000.jpg
Sloterdijk,https://data.amsterdam.nl/panorama/2017/04/24/TMX7316010203-000279/pano_0000_003522/equirectangular/panorama_2000.jpg
Bedrijventerrein Sloterdijk,https://data.amsterdam.nl/panorama/2017/04/24/TMX7316010203-000279/pano_0000_004324/equirectangular/panorama_2000.jpg
Jordaan,https://data.amsterdam.nl/panorama/2017/04/26/TMX7316010203-000280/pano_0000_000000/equirectangular/panorama_2000.jpg
Da Costabuurt,https://data.amsterdam.nl/panorama/2017/04/26/TMX7316010203-000280/pano_0000_000014/equirectangular/panorama_2000.jpg
Middelveldsche Akerpolder,https://data.amsterdam.nl/panorama/2017/04/28/TMX7316010203-000282/pano_0000_000016/equirectangular/panorama_2000.jpg
De Punt,https://data.amsterdam.nl/panorama/2017/05/02/TMX7316010203-000283/pano_0000_001465/equirectangular/panorama_2000.jpg
Osdorp-Midden,https://data.amsterdam.nl/panorama/2017/05/02/TMX7316010203-000283/pano_0000_001723/equirectangular/panorama_2000.jpg
Osdorp-Oost,https://data.amsterdam.nl/panorama/2017/05/02/TMX7316010203-000283/pano_0000_001868/equirectangular/panorama_2000.jpg
Slotervaart Zuid,https://data.amsterdam.nl/panorama/2017/05/04/TMX7316010203-000285/pano_0000_000660/equirectangular/panorama_2000.jpg
Slotervaart Noord,https://data.amsterdam.nl/panorama/2017/05/08/TMX7316010203-000288/pano_0001_001568/equirectangular/panorama_2000.jpg
